percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.7002533972263336,0.001158432321953112,0.759564471244812,0.0010335367370484683,0.3780820000730153,0.0021871615580845967
20,0.7001241683959961,0.0012686289812397073,0.7590351462364197,0.001287066860694593,0.37783803316348324,0.00239519966826745
40,0.698979377746582,0.0012915970273577487,0.7577283978462219,0.001421429556103844,0.37567663882434676,0.002438578862843496
60,0.6979617834091186,0.0023001413774717573,0.7564157962799072,0.0024227136563625745,0.37375539941178104,0.004342716995769873
80,0.6967887163162232,0.0026333101516792016,0.7552486300468445,0.0035686784598606682,0.3715406373111844,0.004971736306218603
100,0.6946788191795349,0.002134870057184462,0.752791804075241,0.003282493619032902,0.3675571151164797,0.004030690273297928
150,0.6939984023571014,0.0039100451400287,0.752473384141922,0.005541990091706489,0.36627247685847447,0.007382243331478389
233,0.6901531517505646,0.003045571930457112,0.7479950547218323,0.0050719798717786604,0.35901255530841214,0.0057501033746076196
400,0.6824888706207275,0.005754236999382551,0.7407396733760834,0.0067508195965172504,0.3445422679867862,0.010864094761788215
900,0.6649363517761231,0.00934309377752892,0.7195230007171631,0.01083158694657909,0.3114027941115082,0.017639922219214784
10,0.7002533972263336,0.001158432321953112,0.759564471244812,0.0010335367370484683,0.3780820000730153,0.0021871615580845967
20,0.7001241683959961,0.0012686289812397073,0.7590351462364197,0.001287066860694593,0.37783803316348324,0.00239519966826745
40,0.698979377746582,0.0012915970273577487,0.7577283978462219,0.001421429556103844,0.37567663882434676,0.002438578862843496
60,0.6979617834091186,0.0023001413774717573,0.7564157962799072,0.0024227136563625745,0.37375539941178104,0.004342716995769873
80,0.6967887163162232,0.0026333101516792016,0.7552486300468445,0.0035686784598606682,0.3715406373111844,0.004971736306218603
100,0.6946788191795349,0.002134870057184462,0.752791804075241,0.003282493619032902,0.3675571151164797,0.004030690273297928
150,0.6939984023571014,0.0039100451400287,0.752473384141922,0.005541990091706489,0.36627247685847447,0.007382243331478389
233,0.6901531517505646,0.003045571930457112,0.7479950547218323,0.0050719798717786604,0.35901255530841214,0.0057501033746076196
400,0.6824888706207275,0.005754236999382551,0.7407396733760834,0.0067508195965172504,0.3445422679867862,0.010864094761788215
900,0.6649363517761231,0.00934309377752892,0.7195230007171631,0.01083158694657909,0.3114027941115082,0.017639922219214784
