percent,NoisyBT_acc_mean,NoisyBT_acc_std,NoisyBT_wacc_mean,NoisyBT_wacc_std,NoisyBT_tau_mean,NoisyBT_tau_std
10,0.6944173574447632,0.0009106430528709655,0.7554967522621154,0.0012648103415797308,0.3670634633229733,0.0017193152483416362
20,0.6939024984836578,0.001009873862253305,0.7547835111618042,0.0013819435381810879,0.3660914076678061,0.001906667034979103
40,0.6933149576187134,0.0016346487141990487,0.7540577948093414,0.0020163982698268336,0.36498212062602703,0.0030862593063501944
60,0.6934128880500794,0.0020145507289684285,0.7543196558952332,0.002461181221523616,0.3651670017996569,0.003803512855101972
80,0.6930827796459198,0.0020678636160068537,0.7540300250053406,0.0022436707445019966,0.3645437425854615,0.0039041484793848483
100,0.6927112817764283,0.00417051976090161,0.7533445596694947,0.004414852121882389,0.3638423377205565,0.007874017139952914
150,0.6929091334342956,0.00515362234824796,0.7536209344863891,0.005566587961050239,0.36421591205077763,0.009730123844782045
233,0.6922266900539398,0.004671706904840012,0.75309619307518,0.004798955063305796,0.36292746180981095,0.008820270635229062
400,0.6870569586753845,0.006222574620651665,0.747551828622818,0.007293954575340698,0.353166879437044,0.011748318127965196
900,0.6776451885700225,0.006067191269942368,0.7359500586986542,0.00594706009339268,0.3353973208622918,0.011454981049633366
10,0.6944183707237244,0.0,0.7557886838912964,0.0,0.367065369314454,0.0
