percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.6779692530632019,0.002812642806491672,0.7402949273586273,0.0034210031256678656,0.33604507225539304,0.00531597623272158
20,0.6770445346832276,0.0040007594030048695,0.7384471356868744,0.005395075009570472,0.3342943500748271,0.0075364709744879885
40,0.6740906715393067,0.0028245972651914112,0.7341070950031281,0.0042204255101978595,0.3287186024671759,0.0053421740048732085
60,0.6723119020462036,0.003920443751360671,0.7315213918685913,0.005230919371129052,0.32534578098324485,0.007406059198542293
80,0.666804975271225,0.004889794190847802,0.7255628168582916,0.006330947630361876,0.3149493439525136,0.009223557515150263
100,0.6641156017780304,0.006591719726408495,0.7217984735965729,0.0083518324894567,0.3098720004877019,0.01244048170320662
150,0.6590649902820587,0.0063777023451913,0.715124374628067,0.007560845340920714,0.3003298145232609,0.012040219180172323
233,0.6484074831008911,0.009078121384084545,0.7002185583114624,0.010187595605372798,0.2801989830939295,0.017140363266959478
400,0.6328487515449523,0.011328299840727613,0.6819167077541352,0.013543378703985951,0.2508265728712663,0.021380421863080777
900,0.6051990270614624,0.009143669199005191,0.6458515286445617,0.012195438170011454,0.19861765423138514,0.017263419958972633
