percent,RC_acc_mean,RC_acc_std,RC_wacc_mean,RC_wacc_std,RC_tau_mean,RC_tau_std
10,0.6499379217624665,0.0015238796878488774,0.7105747103691101,0.0019689130147440208,0.2843555181533103,0.002745098771390309
20,0.6523062467575074,0.002540710625309745,0.7126466631889343,0.0033389797669076773,0.2884376285135994,0.004823440261687042
40,0.6537003874778747,0.003499155579557803,0.7145828306674957,0.004335778182708588,0.2905355309020705,0.006575767303410005
60,0.6535742104053497,0.003339431636062377,0.7148587107658386,0.0040027539142126894,0.29010015306202447,0.0062949837020848
80,0.650775820016861,0.003540536538985691,0.7121316015720367,0.0040389124250833405,0.28481436355815415,0.006661067852007983
100,0.6503033638000488,0.004960636679761283,0.7115737438201905,0.006306560062822554,0.28386875211320123,0.009353815251307077
150,0.6495240151882171,0.00484034233515558,0.7096143960952759,0.005895048302320578,0.28243557019985355,0.009132433022357132
233,0.6428631961345672,0.005214876390571438,0.6996981501579285,0.0067748919912211806,0.26985457933082146,0.009861190186646307
400,0.6358995318412781,0.009381724432801376,0.6929817795753479,0.010864847149507422,0.25672439597507835,0.017725923447118482
900,0.6174111843109131,0.011264300382045782,0.6692292928695679,0.01417174243388978,0.22189769993080127,0.02125894457009947
