percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.6969048142433166,0.0010801997693724733,0.7565869688987732,0.0016830461148707983,0.37175982633146726,0.0020394474007026505
20,0.6975175976753235,0.0022326526964962083,0.7569677770137787,0.0027616239626569086,0.37291676316026423,0.004215275866559623
40,0.6967917442321777,0.00295501884935712,0.7559613585472107,0.003497936758011127,0.3715463552856266,0.005579117062622232
60,0.6949534118175507,0.0032963775643933754,0.7544406473636627,0.0037122671782429863,0.36807554479923554,0.0062236327883058076
80,0.694031709432602,0.0029528747692421655,0.7533455729484558,0.003456399502592723,0.3663353745773382,0.0055751019718559116
100,0.693125170469284,0.0028426703459009726,0.7524863839149475,0.003761228356890867,0.36462379422765173,0.005367012433923117
150,0.6929626286029815,0.0016633653061079233,0.7525849580764771,0.0019537550525491896,0.3643169295992558,0.0031404794381733707
233,0.690126895904541,0.005161395517544384,0.7495733380317688,0.006110587278229859,0.35896299952991345,0.009744812543888957
400,0.6810250580310822,0.0047792208361133815,0.7392332196235657,0.0057871839742676835,0.34177858033974223,0.00902325858226396
900,0.6683757841587067,0.007160936025786863,0.7232384324073792,0.008839454876829035,0.31789650708632117,0.013519991869279999
