percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.6790393412113189,0.0026803237163684555,0.7415838360786438,0.0034072388230513835,0.3380504902211213,0.005060050015179819
20,0.6785012722015381,0.0038975154269498325,0.7400564968585968,0.005309632402168679,0.3370202309920202,0.007359191276892863
40,0.6757129848003387,0.0029389165844486047,0.7359589755535125,0.004249226020241888,0.3317635914879049,0.005552874846921503
60,0.6741865754127503,0.0038118609771250816,0.733554345369339,0.0050327286036445824,0.3288806041064235,0.0071964952661546875
80,0.668751323223114,0.0048202206295656575,0.7276271104812622,0.006347963206767414,0.3186274814004645,0.009105853433694936
100,0.6659559667110443,0.006821385796809207,0.7238808691501617,0.00866970609809983,0.31333655531045157,0.012871101791583165
150,0.661916869878769,0.006515978586641461,0.7184360802173615,0.007868534216475463,0.30571400373450264,0.012309105602600508
233,0.651518827676773,0.008591918851817112,0.7038955330848694,0.009731099213393496,0.28607460046258415,0.01622357543872098
400,0.6355088472366333,0.011157839800438435,0.68508882522583,0.013205907348701537,0.2558431424485213,0.021066206038089574
900,0.6078974664211273,0.009033068351370752,0.6490857899188995,0.011886860006323318,0.2037123694593496,0.01705458395639513
