percent,htcv_acc_mean,htcv_acc_std,htcv_wacc_mean,htcv_wacc_std,htcv_tau_mean,htcv_tau_std
80,0.6916775226593017,0.0025277286210662678,0.7514445543289184,0.0030072422933149125,0.36189060244429927,0.004772400570497321
10,0.6930989265441895,0.001443642011850416,0.7528473317623139,0.001453223675505003,0.36457423844915293,0.0027256084693922265
20,0.6933967232704162,0.0019871157009485633,0.7530391454696655,0.00221099377110514,0.3651365059359654,0.003751713659226973
40,0.693885326385498,0.0020993111925623337,0.7536308765411377,0.0024455465598361872,0.36605900581263384,0.00396355316433847
60,0.692645651102066,0.0024958729740897135,0.7525556743144989,0.002991487776893765,0.36371844827430977,0.00471225085357094
80,0.6916775226593017,0.0025277286210662678,0.7514445543289184,0.0030072422933149125,0.36189060244429927,0.004772400570497321
100,0.6915230572223663,0.002915870680450471,0.7513182163238525,0.0032562929148883643,0.3615989857477492,0.005505233274029957
150,0.6925598382949829,0.003343616958571044,0.7526384592056274,0.004179804855472892,0.3635566039750963,0.006312878596434368
233,0.6914140343666076,0.004414755376102138,0.7510260462760925,0.005221713880993235,0.36139313866783135,0.008335113221521265
400,0.6863088965415954,0.004607313603051371,0.7458110213279724,0.004740185653122147,0.35175453974983056,0.008698666356021116
900,0.6805768370628357,0.00821705968607352,0.7385138809680939,0.008760402808296668,0.3409323201223026,0.015513947472370978
