percent,htcv_acc_mean,htcv_acc_std,htcv_wacc_mean,htcv_wacc_std,htcv_tau_mean,htcv_tau_std
10,0.6892748534679413,0.00013895042780106897,0.7494885087013244,0.00011511356392749499,0.3573543427201858,0.0002623422626515153
20,0.6895312786102294,0.00013756725104237887,0.7491723954677582,0.00018245927597427357,0.35783846455628865,0.0002597258721187944
40,0.6798651337623596,0.00022985405990527284,0.7386455714702607,0.0002931951544080618,0.339588596128395,0.00043398049026215335
60,0.6766306281089782,7.727827958220656e-05,0.7358137726783752,7.318167504143526e-05,0.3334817994241682,0.0001459048616531319
80,0.6720908164978028,0.0005003658339809674,0.7316186845302581,0.0006605315812867741,0.32491055573537053,0.0009446894445536845
100,0.5158646047115326,0.0011097947517726184,0.518684697151184,0.0014996504847101366,0.02995265611951421,0.0020952906861462918
150,0.529390150308609,0.0006496810794542042,0.5373749911785126,0.0009073134524385337,0.05548912997820027,0.0012265999252098223
233,0.5365072667598725,0.000436844797639756,0.5506245851516723,0.0005396150967977549,0.06892636991727599,0.0008247813387790766
400,0.5380104422569275,0.0001508220064379446,0.5521952211856842,0.00019291037572473572,0.07176439123206803,0.00028475920963523803
900,0.5400910556316376,0.0005286743955066429,0.5543978452682495,0.0006108239497667383,0.07569263967383187,0.0009981573841015318
