percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.6911202609539032,0.0003507088364997059,0.750184166431427,0.0004750448598284762,0.36083849514694183,0.0006621256392479337
20,0.6921802639961243,0.0008108519167401905,0.7507827758789063,0.0009349293451501829,0.3628397862016978,0.0015309051239868405
40,0.6924881637096405,0.00038633635351598703,0.7507825136184693,0.0004228701192715494,0.3634211136033174,0.000729414746900185
60,0.6882401049137116,0.00037949630204884915,0.7476211071014405,0.0004082391052260085,0.3554007014524478,0.0007165108471567181
80,0.6838466763496399,0.0006697546645803782,0.7428918540477752,0.0009607174355080953,0.34710582652835453,0.0012645158236114483
100,0.513357961177826,0.0002324580935331482,0.5143703758716583,0.00030690097331245416,0.025220079272886546,0.00043887911282789653
150,0.537255322933197,0.0003318116410092828,0.5459783792495727,0.00043520573959877483,0.07033870960448949,0.00062645680773421
233,0.5425391495227814,0.00015974344877459903,0.5548938095569611,0.00019920343488571016,0.08031466901457777,0.0003016107310075883
400,0.544037264585495,0.00010246577967812466,0.5563719928264618,0.00011104909183915632,0.0831431603719662,0.00019344639853631048
900,0.544176584482193,0.00013829642633877108,0.5561327934265137,0.00014334103646466807,0.08340618719630556,0.00026109300668284536
