percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.6920873880386352,0.00021574072925083178,0.7507142543792724,0.00027090268402569633,0.36266443498547163,0.00040731622133658227
20,0.6908688843250275,0.00032846100865115656,0.7490315318107605,0.0003892626450549325,0.3603639032682425,0.0006201476536485745
40,0.6908365905284881,0.0004601425766410215,0.749297970533371,0.00041762352524154383,0.3603029115408595,0.0008687558512332565
60,0.6895625650882721,0.00033488395054346286,0.7484530329704284,0.0003762463399305183,0.35789755029219095,0.0006322607846802336
80,0.6881603538990021,0.0002114877176941029,0.7466997623443603,0.0002409252224806542,0.35525012812547085,0.0003992995290382485
100,0.519623053073883,0.0005423434291093802,0.5235879123210907,0.0008395901678439565,0.03704866240223463,0.0010239645433641543
150,0.5442765235900879,0.00045173934555010697,0.555115669965744,0.0006501247981025109,0.08359488035289683,0.000852905099630324
233,0.5445309281349182,0.0001356160527074613,0.5580330550670624,0.00014152658306897684,0.08407519020603826,0.00025602794143895363
400,0.5457726240158081,0.0001334186054871043,0.5596594870090484,0.00020805228405865322,0.08641955972732382,0.0002518794964922962
900,0.5456625998020173,0.00017345164044134793,0.558126300573349,0.00018195802357006365,0.08621180665592534,0.00032748128625776534
