percent,RC_acc_mean,RC_acc_std,RC_wacc_mean,RC_wacc_std,RC_tau_mean,RC_tau_std
10,0.6454738259315491,0.0003669693680462578,0.7048092305660247,0.0003498222073137924,0.2756978529333904,0.0006563475320887625
20,0.6445077121257782,0.00042914247370484475,0.7022224843502045,0.0004812895015989362,0.2737367790140344,0.0008398189026692671
40,0.6321309924125671,0.0004188733506702156,0.6898916900157929,0.000481383409545697,0.2500737436073244,0.0007835155966075225
60,0.6179926753044128,0.0005151123753944637,0.672320407629013,0.0006401092126168718,0.22324262944159878,0.0009889250277939651
80,0.6048537731170655,0.00025334819493643757,0.6580284535884857,0.0005037332903947036,0.19842388585614776,0.0004598310020398728
100,0.5960265278816224,0.0004962747173339834,0.6478108823299408,0.0007535268167212631,0.18181635085941367,0.000942921472317592
150,0.5738483786582946,0.00014538452802946645,0.6175137162208557,0.00015823774144003877,0.1398915144845048,0.0002884754484582221
233,0.5487769782543183,0.00021475484106053325,0.582414710521698,0.00022894565554311443,0.0925337088484566,0.0003892848430025591
400,0.52520871758461,4.950103452199787e-05,0.5461752772331238,6.358871573124446e-05,0.04803011331312287,9.777421808723496e-05
900,0.49824647009372713,4.108026763583895e-05,0.5025210320949555,4.2674631734419345e-05,-0.002839725520648981,6.08078118510676e-05
