percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.6695407629013062,0.0004340723362541822,0.7326887965202331,0.0006548350961095706,0.3201256402104779,0.0008197814088488486
20,0.6639288485050201,0.0015672346661716587,0.7227315366268158,0.002085076528187926,0.3095093450522107,0.0029529588174870554
40,0.6314101874828338,0.0007867415146489337,0.6824929118156433,0.0009447661226529764,0.2481367551092902,0.0014848905829737593
60,0.605633121728897,0.0004069694708003582,0.6496115505695343,0.0004304414823229776,0.19946851219592038,0.0007683779226966988
80,0.5838587939739227,0.00025451700973885827,0.6210386216640472,0.00044212376556607944,0.15834943268883817,0.00047779384221379795
100,0.5687079191207886,0.00012174796418367047,0.5994956374168396,0.00015525624191402372,0.12975212094884747,0.0002292435180518331
150,0.5396771490573883,9.961487115268937e-05,0.558253389596939,0.0001537524498319059,0.07492993044020704,0.00018757072298839395
233,0.5119456470012664,0.0003033179703049393,0.5184572279453278,0.000309136540278298,0.022553597191359315,0.0005726735291461623
400,0.4880442529916763,7.248926281020562e-05,0.4849545806646347,7.490008486672692e-05,-0.02256322864251669,0.0001368608909907159
900,0.4728550225496292,4.630227351500624e-05,0.4642532229423523,5.469329934480554e-05,-0.05125020492507907,8.742664705746291e-05
