Method,acc_mean,acc_std,wacc_mean,wacc_std,tau_mean,tau_std
HTCV,0.6929646730422974,0.0,0.7530044913291931,0.0,0.3643207415822173,0.0
HBTL,0.6953168511390686,0.0,0.7545710802078247,0.0,0.3687617017322948,0.0
PGEM,0.6958821415901184,0.0,0.7555873990058899,0.0,0.3698290569614979,0.0
BT,0.6803860664367676,0.0,0.7432994246482849,0.0,0.3407005748100444,0.0
BARP,0.6819003224372864,0.0,0.7450876235961914,0.0,0.3434864501515187,0.0
RC,0.6521800756454468,0.0,0.71303790807724,0.0,0.289180935098035,0.0
CrowdBT,0.7001726031303406,0.0,0.7595662474632263,0.0,0.37792952075455777,0.0
FactorBT,0.6947212219238281,0.0,0.7558472752571106,0.0,0.36763716675867,0.0
