percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.7880258023738861,0.0003880240285846431,0.8705487191677094,0.00033835682915552223,0.5713415855635483,0.0007697288424620936
20,0.7853170931339264,0.0006544989439766167,0.8684716105461121,0.000636303923429421,0.5659684814012724,0.0012982756954482315
40,0.7802305519580841,0.0009637180864985272,0.8643025875091552,0.0010307259084748434,0.5558785735537183,0.0019116446077018664
60,0.7752997934818268,0.0011391693461589184,0.8601863205432891,0.0010942028430677947,0.5460976885630513,0.00225968824413956
80,0.7701092779636383,0.0010285979220429982,0.8557100355625152,0.0011447802780924794,0.5358015370031307,0.002040391027765554
100,0.7641524910926819,0.0011604016317913477,0.8501851439476014,0.0014141907317113736,0.5239853780143776,0.002301844726773629
150,0.7454759240150451,0.0012977939864431416,0.831818687915802,0.0014600770529240481,0.4869376460358083,0.002574343707550503
233,0.6924445450305938,0.0021801938340332717,0.7710368990898132,0.0027262121782869967,0.3817420930503854,0.004324744152864449
400,0.5072054743766785,0.0020903709625104843,0.5106444597244263,0.0030820085616355985,0.014293131063305467,0.004146574622145495
900,0.2698762208223343,0.0018734127356391634,0.18466625660657882,0.002298614557842186,-0.4564843866346534,0.0037161989509232056
