percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.7916040241718292,8.54712859588672e-05,0.8729376375675202,9.020692280907674e-05,0.5784395598594616,0.00016955404335619478
20,0.791491585969925,0.00014552242534818891,0.8728854179382324,0.0001705058969680384,0.5782164959860759,0.0002886890696473094
40,0.7912191927433014,0.00018960115716936416,0.8726654708385467,0.0002128796647147526,0.5776761270005701,0.000376102311163727
60,0.7910714685916901,0.00022216983266981787,0.8725736260414123,0.0002524299418550803,0.5773831222250562,0.0004407186969502133
80,0.7909238696098327,0.00023862057890532438,0.8724558234214783,0.00025259106232689677,0.5770903221986383,0.0004733543402292247
100,0.7908128142356873,0.00029972542683889776,0.8723679721355438,0.00030634134365356764,0.5768700432383356,0.0005945399926545647
150,0.7905877947807312,0.0002850810300975447,0.8722026884555817,0.0003131508001856684,0.5764236811505719,0.0005655224079618116
233,0.7903460919857025,0.0003113081261938924,0.8719911336898803,0.000317745374585938,0.5759442400343817,0.0006175385093541181
400,0.7901461005210877,0.00023251762881518033,0.8718363046646118,0.00023704069256548415,0.5755475281411695,0.00046125145681715884
900,0.7901541471481324,0.0003372558612902857,0.8718483746051788,0.00029040376236572535,0.5755635077721777,0.0006689588657811702
