percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.7869793593883514,0.00038962386522981436,0.8697035312652588,0.0003969371271827967,0.5692658007251584,0.00077288088698536
20,0.7842087626457215,0.0003548385591057274,0.8675303399562836,0.00034975826521418843,0.5637699152221455,0.0007038788251448076
40,0.7795405149459839,0.0004437847655294848,0.8637166976928711,0.0004003540025715427,0.5545097730860651,0.0008802928740779088
60,0.7746234118938446,0.0006207039801481235,0.8595334172248841,0.0005008516097894061,0.5447559761926289,0.0012312491145100243
80,0.7692396700382232,0.0007377203654835191,0.8547355711460114,0.000510949736767313,0.5340765543477459,0.0014634070788917082
100,0.7634259521961212,0.0008007368314328195,0.8494753360748291,0.0007539667755061777,0.5225441906977747,0.0015883878699808382
150,0.7448419392108917,0.0007963723092857374,0.831074982881546,0.0007741284137551703,0.4856800523374494,0.001579737669326304
233,0.6930708706378936,0.0012852294748482392,0.7717915534973144,0.0014229225119369404,0.38298451393063326,0.002549444836519019
400,0.5048944056034088,0.0027315855995781076,0.5071999728679657,0.00400912356096506,0.009708781229647774,0.005418491011088498
900,0.26801215410232543,0.0019410308366848627,0.18268160670995712,0.0020877492132421994,-0.4601820414868253,0.0038503345663817162
