percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.7918656408786774,5.626327047294688e-05,0.8733144462108612,5.777116016115584e-05,0.5789584784553731,0.00011158068933674536
20,0.7917219519615173,6.590763375169119e-05,0.8732021570205688,6.924667337442936e-05,0.5786734461158882,0.00013074062032809167
40,0.7914322018623352,0.00014701328979007858,0.8729827761650085,0.00014990904976794082,0.5780986805068398,0.00029161380956761686
60,0.7912005603313446,0.00015066536432437427,0.8728046953678131,0.00015176539158990855,0.5776392193603647,0.0002988568419295388
80,0.7910141587257385,0.0001753441517822567,0.8726543128490448,0.0001579749488124586,0.5772694519673212,0.00034782197664866586
100,0.7907914280891418,0.0002251221955168017,0.8724711060523986,0.00022107549772245417,0.5768276239221523,0.00044658909827921225
150,0.790482097864151,0.0003073543737126535,0.8722372353076935,0.00029806839272813606,0.5762140071117623,0.0006096733523848145
233,0.7900737345218658,0.00024626910459930325,0.8719016969203949,0.0002695599555100476,0.5754039584647306,0.0004885096932011598
400,0.7897387862205505,0.0002550032503597433,0.8716894805431366,0.000300297323193317,0.5747395734270075,0.0005058083068948903
900,0.7894856095314026,0.00026744991491609835,0.8714422464370728,0.0002715091407753339,0.5742373333677292,0.0005305260330142828
