percent,RC_acc_mean,RC_acc_std,RC_wacc_mean,RC_wacc_std,RC_tau_mean,RC_tau_std
10,0.7795905351638794,0.0002048954617267262,0.8637125313282012,0.00020886649390983373,0.5560905828331126,0.0004113609806225951
20,0.7788547992706298,0.00034201354878441847,0.8630753815174103,0.0003500964075894522,0.5540453813570027,0.0006790423727063653
40,0.7768551349639893,0.00047179832621970544,0.8613393485546113,0.0004869762723227798,0.5498458429115821,0.0009324520852472273
60,0.7747252643108368,0.0006579240579108406,0.8595288097858429,0.0006555411220842673,0.5454673974703949,0.0013095147712703732
80,0.7723022997379303,0.0007892727712554005,0.8574214935302734,0.0008180877536693739,0.5405445529554227,0.0015681217644358794
100,0.7696264863014222,0.0008390860887158612,0.8550598323345184,0.0008671683988316818,0.5351448108288877,0.0016629882817332153
150,0.7608206331729889,0.0009916326254448473,0.8470866918563843,0.0009503603996136743,0.5176668588139322,0.0019674517300794013
233,0.7370951771736145,0.0013745099864372254,0.8231811165809632,0.0015015030817684795,0.4706952280317259,0.002727196230837708
400,0.6158190250396729,0.0024489678257268196,0.6688449919223786,0.00348280767963043,0.23050278624552273,0.004861837877523966
900,0.28285921216011045,0.003034448097051685,0.19988924115896226,0.0036889792463461277,-0.4302650601102257,0.006020535110340024
