percent,htcv_acc_mean,htcv_acc_std,htcv_wacc_mean,htcv_wacc_std,htcv_tau_mean,htcv_tau_std
10,0.7917039573192597,8.992403240690345e-07,0.8732805013656616,9.223132674162245e-07,0.5786377649102528,1.7797142548473638e-06
20,0.7916891038417816,1.1586781140946441e-06,0.8732719659805298,1.014050022036397e-06,0.5786082687919226,2.288273671661492e-06
40,0.791681456565857,1.2926926958719167e-06,0.8732712864875793,1.378143944835498e-06,0.578593133271813,2.5703554412776206e-06
60,0.7916510045528412,2.5185977738339854e-06,0.8732528448104858,2.297710737939982e-06,0.5785327377719339,4.986384297610949e-06
80,0.7916684865951538,9.385791835510589e-07,0.873260372877121,1.049261855745975e-06,0.5785674207085207,1.8358471449944315e-06
100,0.7916265785694122,2.8172827516370115e-06,0.8732116997241974,1.8920226821833222e-06,0.578484279240602,5.593507273870621e-06
150,0.7915706038475037,3.1939414611585726e-06,0.8731629550457001,2.5667742171160263e-06,0.5783732379990978,6.364993649415324e-06
233,0.7914396345615387,2.85593340099642e-06,0.8730559885501862,2.092530545054201e-06,0.5781134244382731,5.664280591837127e-06
400,0.7911200284957886,2.80878943740743e-06,0.872766649723053,2.5509395293966004e-06,0.5774794133366685,5.559300482189137e-06
900,0.7891520023345947,1.8932244252836243e-05,0.8711864352226257,1.5789921786004064e-05,0.573575579425218,3.755980241415158e-05
