percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.7883637428283692,1.0945652595387192e-05,0.8703668475151062,1.4784912612727599e-05,0.5720119482023962,2.1733869350723706e-05
20,0.7859743118286133,3.8695570427350586e-05,0.8686636328697205,4.658547581257711e-05,0.5672721338809967,7.679146349466099e-05
40,0.7801905333995819,2.8471017568452405e-05,0.8638710021972656,2.2446814837477804e-05,0.5557991889552378,5.647744841339961e-05
60,0.7744237780570984,4.10698234692693e-05,0.8589713275432587,4.261900700055192e-05,0.5443600065567794,8.146942213533747e-05
80,0.7681114614009857,4.595292714512578e-05,0.8531750917434693,3.956178812083409e-05,0.5318385862419767,9.116373777115498e-05
100,0.761570954322815,2.4003674809609247e-05,0.8468695044517517,1.7050579320318443e-05,0.5188645083603566,4.761083448409637e-05
150,0.7454066693782806,4.7709168033906756e-05,0.8306975960731506,4.6033790473538884e-05,0.4868002685006032,9.466289351146705e-05
233,0.7161990940570832,4.4796088384360285e-05,0.798814058303833,4.900942396889187e-05,0.42886274524353907,8.885292760246578e-05
400,0.6671629965305328,3.35664344247899e-05,0.7380249679088593,4.142572596477246e-05,0.33159243682208844,6.655310894201075e-05
900,0.5900438606739045,1.4633202501888371e-05,0.6315302014350891,2.160054892560148e-05,0.17861523229986043,2.9048056037611323e-05
