percent,NoisyBT_acc_mean,NoisyBT_acc_std,NoisyBT_wacc_mean,NoisyBT_wacc_std,NoisyBT_tau_mean,NoisyBT_tau_std
10,0.791627186536789,1.3505549710518876e-06,0.8730042040348053,2.2234130423549532e-06,0.5784855070574624,2.6762453132130134e-06
20,0.7916277468204498,2.8166017062940063e-06,0.8730007469654083,2.3601407267056168e-06,0.5784866030421029,5.594170703485398e-06
40,0.7916286826133728,1.3495418260655314e-06,0.8730006873607635,3.0630582800866614e-06,0.5784884657359409,2.677856182672835e-06
60,0.7916290819644928,4.749334600415555e-07,0.8730006396770478,2.541989607795268e-06,0.578489239316252,9.755365365131832e-07
80,0.791628235578537,1.0176347626892264e-06,0.8729996621608734,1.797146760356746e-06,0.5784875441920624,1.9822553111247487e-06
100,0.7916294515132904,2.3549492675230992e-07,0.872998058795929,2.4284778580025867e-07,0.5784899801804297,4.731361574934579e-07
150,0.7916280508041382,1.7005195753052815e-06,0.8729995846748352,1.9912233862850524e-06,0.5784872055975557,3.3587434955653035e-06
233,0.791618287563324,1.2957671413495238e-06,0.8729799330234528,6.845198368907931e-07,0.5784678236974227,2.5684914876248217e-06
400,0.7916154980659484,9.789688667129428e-07,0.8729909062385559,4.172325134277344e-07,0.5784622837919826,1.9247761979566705e-06
900,0.7916184842586518,2.184337427634719e-06,0.8729906976222992,4.4224075797914374e-07,0.5784681887888564,4.3390325928167345e-06
