percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.694604116678238,0.0007498401468742291,0.7545165538787841,0.0009169055128401988,0.3674160717469065,0.001415709092901252
20,0.693485575914383,0.0006197848130739693,0.7523697257041931,0.0007179647588533013,0.36530423318626876,0.0011701670118823577
40,0.6876475155353546,0.00021400420889966713,0.7466712296009064,0.00021446739373664467,0.35428188445326525,0.00040405670789880064
60,0.6879958093166352,0.0003655509693943415,0.7480480253696442,0.00046517864109476214,0.3549394515141136,0.0006901584361061192
80,0.6884339332580567,0.0007063195352169877,0.7504126489162445,0.0011453655496251366,0.3557666518167461,0.0013335621868542035
100,0.6854538261890412,0.0012595640374338931,0.7477467060089111,0.001214434240156262,0.3501401649656607,0.002378078615769383
150,0.6869267165660858,0.0002587299131353563,0.7509019911289215,0.00024350080539322434,0.35292100653603115,0.0004885030508870352
233,0.6843272089958191,0.00015751545522637046,0.7438004672527313,0.0001116448026969403,0.34801307847317725,0.00029738353855299286
400,0.6819437205791473,0.0009602450622100483,0.7422186195850372,0.0008087419581830159,0.3435130325871974,0.001812938579662698
900,0.678593122959137,9.578222801039777e-05,0.7386944651603699,0.00010592937134097289,0.33718704686268786,0.00018085840576343625
