percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.6925406634807587,0.00040420722488214894,0.7520948708057403,0.0003824226237231043,0.36352022516031485,0.0007631586080626957
20,0.6920873820781708,0.0002706673476067472,0.7518444716930389,0.000357843922331807,0.36266443498547163,0.0005110368015890178
40,0.6881199717521668,0.0002970688035448146,0.7487597346305848,0.00029590103077978193,0.35517388846624215,0.0005608572228202232
60,0.6886772274971008,0.00035535452840708024,0.7493552923202514,0.00029569442580118385,0.35622599576359953,0.0006709008790414678
80,0.6909789323806763,0.0003400863641330628,0.7519443392753601,0.0004903592714338919,0.36057165633964106,0.0006420702272902461
100,0.6871518433094025,0.0004997624642510917,0.7486614048480987,0.0004905992192296246,0.3533460426362317,0.0009435639652875926
150,0.6848481178283692,0.0002747705659406439,0.7485750675201416,0.0003113229580044707,0.34899657007722873,0.0005187659251537997
233,0.6835185825824738,9.209972868182242e-05,0.7458899855613709,7.55154022426844e-05,0.34648637929712056,0.00017386361933425414
400,0.6833863317966461,0.0001949629799475203,0.7458673179149627,0.00023481372240926034,0.3462366944131462,0.0003680883593006229
900,0.6811017870903016,7.453416666034626e-05,0.7429527401924133,6.918909732921973e-05,0.34192343569227696,0.00014069522524031377
