percent,RC_acc_mean,RC_acc_std,RC_wacc_mean,RC_wacc_std,RC_tau_mean,RC_tau_std
10,0.6500731885433197,0.0004664104914328598,0.7104476034641266,0.000503418640959453,0.2839303382115647,0.0008913938388240185
20,0.6520498275756836,0.0005852389542564732,0.7128045916557312,0.0007346036237899553,0.2874179872304846,0.001106302981246203
40,0.6544585466384888,0.0008155675640203436,0.7176367461681366,0.0011817108808215224,0.29185089129764585,0.0015330827819248396
60,0.6416699469089509,0.0009365759814905387,0.7052155256271362,0.001709344090796593,0.26773777824059897,0.0017809524530543964
80,0.609177541732788,0.0005972340059203416,0.6569820463657379,0.0013025461460034677,0.20644899130151143,0.0011351515506306887
100,0.5503063857555389,0.0018172429906431777,0.5753491044044494,0.002992489843168292,0.0955659953894179,0.0034164584073381244
150,0.389191073179245,0.0008342143298676714,0.33372934758663175,0.0011250058107293943,-0.20897048762511755,0.0015804650971851658
233,0.3568824023008347,0.00019957042399799892,0.29323420822620394,0.00046352386901104685,-0.27012648297604247,0.0003693349307807699
400,0.34927264153957366,8.840733376872713e-05,0.2897121042013168,0.00013135785591611993,-0.28452203864177206,0.00017432075450301548
900,0.34911818504333497,0.00010657272082778045,0.2888806819915771,8.6795939895521e-05,-0.28484208132098954,0.00020497943104851675
