percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.6930131077766418,0.00034218532490249017,0.7527502834796905,0.00035828202684918344,0.36441222917329175,0.0006460608282195976
20,0.6913322567939758,0.0005079227241740115,0.7512848556041718,0.0004935628213090005,0.36123875335789307,0.0009589637725247777
40,0.6873406171798706,0.0001932084261589551,0.7480304539203644,0.00020346598141329257,0.3537024630431263,0.00036478207234147024
60,0.6888761043548584,0.00022391425159908225,0.7502654135227204,0.0002951445193518933,0.35660147608530146,0.0004227693619565999
80,0.6905054748058319,0.0003071779542496888,0.7520105540752411,0.00035280601622347997,0.3596777463351834,0.0005799478265494671
100,0.6871972739696502,0.0005167533878005551,0.7489841461181641,0.0005925552295830364,0.35343181225286413,0.0009756386689308615
150,0.6849874258041382,0.0003322454861181584,0.7491066694259644,0.0003473969446922523,0.34925959690156816,0.0006272884078062423
233,0.6836649596691131,0.0001433914677570039,0.7469746112823487,0.0001463458247205769,0.34676274806182494,0.0002707313131351237
400,0.6829895913600922,0.00017857266570316983,0.7460191369056701,0.00019899899673327733,0.3454876397612233,0.0003371450570310881
900,0.6813561797142029,8.897776420986439e-05,0.7439393043518067,0.00010490119182073564,0.3424037455454184,0.00016799776957578078
