percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.6799378216266632,0.0005600090698571939,0.7421895742416382,0.0006100271605494295,0.33975457973859635,0.0010591358812629145
20,0.6753142178058624,0.0009269824983857773,0.7340036988258362,0.00152873014376219,0.33099969500836757,0.0017540852222099937
40,0.6596414148807526,0.0006255805310670985,0.7147889077663422,0.0006902738019191956,0.3014417923951319,0.0011813195109388727
60,0.6368989586830139,0.0009081325128917393,0.6855328142642975,0.0012932368200541198,0.2584890781049566,0.0017146038764852874
80,0.5924397110939026,0.0008838193079565669,0.6277947366237641,0.001171994285451982,0.1745505229939151,0.0016711873889748278
100,0.530068552494049,0.0008111084505765146,0.5401512503623962,0.0012953876787523627,0.05677582560238777,0.0015287338602886077
150,0.40793886184692385,0.0005085190639277315,0.36433473229408264,0.000641441577948519,-0.1737982106426528,0.0009571590055173626
233,0.34683061242103574,0.00024550578285908244,0.28695341646671296,0.0003219124585981275,-0.2891799741988278,0.000463018547878642
400,0.3250815153121948,0.00032251668610534074,0.2624250501394272,0.00030679031210541934,-0.3302492378728672,0.0006089158061115001
900,0.31854588389396665,8.993116311061883e-05,0.2555166095495224,7.342813381818142e-05,-0.3425886267190482,0.00016979378307536825
