percent,htcv_acc_mean,htcv_acc_std,htcv_wacc_mean,htcv_wacc_std,htcv_tau_mean,htcv_tau_std
10,0.6927627503871918,6.090634093203763e-05,0.7528486013412475,5.488945879979223e-05,0.3639395432860732,0.00011499306426677596
20,0.6929293215274811,5.3850706558119786e-05,0.7529680728912354,4.30699137793724e-05,0.36425403188039207,0.00010166280552601812
40,0.6932119905948639,2.8653696067455934e-05,0.7533768951892853,2.4407857502421533e-05,0.36478770949499373,5.407778506267689e-05
60,0.693287706375122,5.167000245981349e-05,0.7532202422618866,5.072133971932956e-05,0.3649306588560476,9.755995712581218e-05
80,0.6931554555892945,7.533777548181974e-05,0.7528758645057678,9.411343142281778e-05,0.3646809739720733,0.00014223601101116983
100,0.6595313847064972,0.010756063959494865,0.7181097745895386,0.011376817380115197,0.3011981157237335,0.020307660446635664
150,0.6628789484500885,0.00038208774524485343,0.7273031115531922,0.0004867093774969031,0.30751838347380095,0.0007214020388914997
233,0.6726450443267822,0.0001642658263456735,0.7343424677848815,0.00018332171600603654,0.3259569450582859,0.0003101324009462832
400,0.676750761270523,0.00026244861593709016,0.7395113825798034,0.0002610605597424154,0.3337086124103739,0.0004955174642963083
900,0.6771242797374726,0.0001741818122740987,0.7395126521587372,0.00015344161422291356,0.33441382925824026,0.00032885396169596173
