percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.7921045899391175,1.7995979808073966e-05,0.8735953092575073,2.154914907349943e-05,0.5794324784284366,3.5694444479294524e-05
20,0.7920925080776214,2.012771191791758e-05,0.8735908091068267,2.1536916694774378e-05,0.5794085298013546,3.990272770041807e-05
40,0.7920951902866363,3.0407488731135527e-05,0.8736049115657807,3.42275285931445e-05,0.5794138439749139,6.0308864079406055e-05
60,0.7920805633068084,4.516953124662692e-05,0.8735920548439026,4.0845773625196605e-05,0.5793848116997217,8.962758167352578e-05
80,0.7920601010322571,4.839853259531159e-05,0.8735796332359314,4.740996908516675e-05,0.5793442182611731,9.601700368149493e-05
100,0.7920464336872101,3.9473843258373095e-05,0.8735669076442718,3.751070511945638e-05,0.5793171234074566,7.830976458698187e-05
150,0.7920265257358551,4.794924869554419e-05,0.8735564768314361,5.817260682778676e-05,0.5792776035740843,9.512542676478263e-05
233,0.7919160962104798,6.792428367802296e-05,0.8734694600105286,8.02747725979308e-05,0.5790585617074907,0.0001347449896922744
400,0.7917351663112641,0.0001100461606031592,0.8733410179615021,0.00012648547859284967,0.5786996456120761,0.00021830070946430894
900,0.7912987768650055,0.0002292307976446218,0.8730444073677063,0.0002209509695435875,0.5778340531220052,0.00045471807301938324
