percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.7874083280563354,0.0002521466204085532,0.8697516679763794,0.0002854416618382373,0.5701167432258295,0.000500173244176331
20,0.7854087352752686,0.000326174675744037,0.8684065282344818,0.0003839378517365325,0.5661502485201838,0.0006470433240865023
40,0.7819069802761078,0.0003535252228724977,0.8656523108482361,0.0004809068754427069,0.5592040290522915,0.0007012891827893809
60,0.7788268327713013,0.0006718448673289452,0.8631708145141601,0.0008690278829834681,0.553094063219607,0.0013326922268464732
80,0.7757616221904755,0.0007834160882946886,0.8604607820510864,0.0009800862658922154,0.5470137978971167,0.0015540257311199642
100,0.7733891546726227,0.000918533887697483,0.8585189342498779,0.0010655524194283755,0.5423076665444133,0.001822035851637196
150,0.7676938533782959,0.0007275879471711158,0.8535724699497222,0.0009372032776911604,0.5310101946666308,0.0014432398228053762
233,0.7589745819568634,0.0004878868846349147,0.8454760551452637,0.0007799936174081553,0.5137142506962167,0.0009678070349044348
400,0.743985939025879,0.0010456407663327182,0.8304105162620544,0.0013693547315756223,0.48398203586971383,0.002074171829518965
900,0.7121187269687652,0.0021421722152391185,0.7948342442512513,0.0027845499189523967,0.4207687321836491,0.004249321811163761
