percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.6952693939208985,0.0001523025735082135,0.7546561479568481,0.00016858291124516891,0.36867212013270095,0.0002875521535702647
20,0.6991903722286225,0.00028663287219497086,0.7582691848278046,0.0003555697840601721,0.37607499104381725,0.0005411841211223199
40,0.6998334288597107,0.0001815556250976928,0.7583782076835632,0.00011007409082088577,0.3772891076170358,0.00034278185074317557
60,0.6988531827926636,0.00044812799373874124,0.7574943125247955,0.0006121433309544514,0.37543951201553283,0.0008467881800219061
80,0.6989339351654053,0.00015678767953643044,0.7567955851554871,0.00014051261208570227,0.3755908692077144,0.0002960183335814293
100,0.5541072309017181,0.0009479239796352303,0.5716904699802399,0.002084668912102338,0.10216441469287088,0.001788117496200164
150,0.5394752502441407,0.0027661103433654854,0.5515770077705383,0.005390953618672125,0.07453293178859313,0.005217182774041838
233,0.5448973834514618,0.0019444119652337352,0.5578394591808319,0.0026945596011129424,0.08476908159672095,0.0036695357401627126
400,0.5452688872814179,0.0011471325554160534,0.5589635670185089,0.001513595509797876,0.08546949957461938,0.0021661517761554488
900,0.540082985162735,0.0001411206962360576,0.5500868558883667,0.0004575742505667585,0.07568035271165366,0.0002651948935857593
