percent,RC_acc_mean,RC_acc_std,RC_wacc_mean,RC_wacc_std,RC_tau_mean,RC_tau_std
10,0.652987664937973,0.00043701610748966683,0.7143275916576386,0.0006384705626706855,0.29096284761903235,0.0007865616085677484
20,0.65211141705513,0.0009174936238274762,0.713235330581665,0.0011262459786583474,0.289034703659084,0.0017573692281659082
40,0.6550541639328002,0.00047783135154987836,0.7159810245037079,0.0006015841574490072,0.29420147558618137,0.0008000977360647088
60,0.653546953201294,0.0003006666314863332,0.7124245405197144,0.0004963971402962801,0.29108219600053653,0.0005893595261128433
80,0.6487547576427459,0.00027212576137028807,0.7050463855266571,0.0003903641721122914,0.2820760352541233,0.0004942154815138337
100,0.6405715942382812,0.00022675466699366323,0.6928592503070832,0.0003157623596558218,0.26661402520174304,0.0004221860631618827
150,0.6262899160385131,0.0001686348021609124,0.6735767185688019,0.0001925092126975684,0.23961143493377418,0.0002956086788987925
233,0.6104152202606201,0.00028616155939413686,0.6533178210258483,0.00033681410664562853,0.20962924953493628,0.0005659012033954003
400,0.5907113969326019,9.874811807671308e-05,0.6239381730556488,8.18565334734983e-05,0.17243813521427673,9.928482182233336e-05
900,0.5654501974582672,9.9202345321675e-05,0.5841476023197174,7.183128455281413e-05,0.12465115717528288,5.574198392148448e-05
