percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.6844170570373536,0.0002957431329715208,0.745465624332428,0.00027635129128919257,0.34821858591596805,0.0005538693173081505
20,0.6806565880775451,0.0011929839613278928,0.7424618780612946,0.0014866634838981059,0.3411486213975147,0.0022448161957364676
40,0.6732527673244476,0.0006644230029805219,0.732217800617218,0.0007203391545225264,0.32716190449303223,0.0012536345585710843
60,0.6609548032283783,0.0003955675542875621,0.7143074750900269,0.0006353669230942526,0.3039136146543276,0.0007476016436547189
80,0.6483923375606537,0.00041923432719302603,0.6974677562713623,0.0005788632334933229,0.2801991619790283,0.0007964457905284309
100,0.6299221634864807,0.00028752158804971786,0.6717477798461914,0.00026989102310669106,0.2453125395175435,0.0005307732854311983
150,0.6077420055866242,0.00019151800552460262,0.6410726070404053,0.00028391480164312365,0.20342075276279944,0.0003613148591729967
233,0.5897715568542481,0.0001508169268073448,0.6164940476417542,0.0001815738844250654,0.16949029242302266,0.00028475283083502576
400,0.5753414690494537,6.895283385651036e-05,0.5961024284362793,9.258063048027984e-05,0.14224605019761155,0.00013016679929470424
900,0.562381261587143,6.8736527316496e-05,0.5774964392185211,8.707460667166699e-05,0.11777693156812866,0.0001297754874386516
