percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.6858243346214294,0.000310366421994374,0.7472907304763794,0.00031864833973927614,0.35086188057772694,0.0005873449301202521
20,0.6819982469081879,0.0011953681918213167,0.7439683318138123,0.001477879734084567,0.3436358963549454,0.00226120864233535
40,0.6746186494827271,0.0005551591095077145,0.733846265077591,0.0005704958213309384,0.32969637607149593,0.0010529689186205668
60,0.6621531069278717,0.00040890950710945534,0.7158564627170563,0.0006143293059091361,0.30616651741385015,0.000770900641661657
80,0.6490808427333832,0.0003952069206445307,0.6984504938125611,0.0005108395032595639,0.2814791677043316,0.0007463968318218587
100,0.6309589445590973,0.0001902233548895654,0.6731745064258575,0.0002529636382813999,0.24725603169497462,0.000360452994987394
150,0.608532452583313,0.00028593499686505806,0.6424315571784973,0.00033270118997612015,0.20491332796925482,0.0005378037212605149
233,0.5902823626995086,0.00010532199779710899,0.6174813628196716,6.722250207026056e-05,0.17045472411226698,0.0001988452502864857
400,0.5758371531963349,0.00012463314703684567,0.5969328343868255,9.505513380772272e-05,0.14318392654087458,0.0002325703125947948
900,0.5627598285675048,5.6579752928445795e-05,0.5779740631580352,6.073119596124636e-05,0.11849268459377352,0.00010518093248162331
