percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.6919611871242524,0.00017168869574792854,0.7506536304950714,0.00027080390660471856,0.3624261860503816,0.0003241530643767979
20,0.6912555396556854,0.00031942693172053063,0.7493624329566956,0.0004125807620019362,0.36109389800535835,0.0006030919678491587
40,0.6912868320941925,0.0003971846974568225,0.7494966685771942,0.0004078821553461057,0.3611529837412607,0.0007498956289980913
60,0.6889598906040192,0.00020816810094931618,0.7483106553554535,0.00025929106800572066,0.35675967337820114,0.0003930272747132783
80,0.6845250725746155,0.00022869622569888481,0.7441609144210816,0.0003067878444998601,0.34838665280339837,0.0004317817468134768
100,0.5155819416046142,0.00128043730986611,0.5190178751945496,0.0014158178857405477,0.029418978504912624,0.002417485541244895
150,0.5310023546218872,0.0003337659678657499,0.540892505645752,0.0005111340471151946,0.05853299837291005,0.0006301456889116172
233,0.5378913044929504,0.00011584775748125593,0.5513296723365784,0.00016742129032694495,0.07153948423734306,0.0002187244604866013
400,0.5419243395328521,0.00010580112913389905,0.5560538291931152,0.0001595931405912317,0.07915392020281933,0.00019975663672067482
900,0.5440625071525573,0.00020540059440893974,0.5567204475402832,0.00022053263923752872,0.0831908101589842,0.00038779315969134206
