percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.6911202609539032,0.0003507088364997059,0.750184166431427,0.0004750448598284762,0.36083849514694183,0.0006621256392479337
20,0.6921802639961243,0.0008108519167401905,0.7507827758789063,0.0009349293451501829,0.3628397862016978,0.0015309051239868405
40,0.6924891710281372,0.0003861691807481993,0.7507840394973755,0.00042167903610428753,0.36342301959479817,0.0007290984206181196
60,0.6882502019405365,0.00037618263364316406,0.7476290047168732,0.0004064026682002474,0.35541976136725495,0.0007102472086694698
80,0.6838345646858215,0.0006882149959104427,0.7428786158561707,0.0009836019313359686,0.3470829546305859,0.0012993550866587783
100,0.5154163718223572,0.00045692033122135984,0.5168221294879913,0.0005566266568868101,0.02910639590207455,0.0008626880439990794
150,0.5372644066810608,0.0003329855963019349,0.5459941685199737,0.00044087307551677083,0.07035586352781596,0.0006286767788457676
233,0.5425391495227814,0.00015974344877459903,0.5548933029174805,0.0001984115325606774,0.08031466901457777,0.0003016107310075883
400,0.544037264585495,0.00010246577967812466,0.5563719928264618,0.00011104909183915632,0.0831431603719662,0.00019344639853631048
900,0.544176584482193,0.00013829642633877108,0.5561327934265137,0.00014334103646466807,0.08340618719630556,0.00026109300668284536
