percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.79209064245224,1.5944214624754918e-06,0.8735754430294037,1.421904999452698e-06,0.5794048230171476,3.154426287190815e-06
20,0.7920691132545471,2.1012983292622718e-06,0.873559033870697,2.305428760997117e-06,0.5793621297690527,4.1535831731167976e-06
40,0.7920769274234771,3.912085826342973e-06,0.8735760390758515,3.381369974632599e-06,0.5793776159476597,7.732902462363963e-06
60,0.7920469999313354,2.7497322341948823e-06,0.8735594034194947,2.4462315532312984e-06,0.5793182273034138,5.46881632739852e-06
80,0.7921016752719879,2.7877456206116276e-06,0.8736098051071167,1.7832052184405476e-06,0.5794266883642973,5.5604024842448114e-06
100,0.7920240521430969,3.772479630572735e-06,0.87354696393013,3.5585969680405785e-06,0.5792727422823476,7.496158481199138e-06
150,0.7919471025466919,1.9714996508127767e-06,0.8734940826892853,2.360592272727715e-06,0.5791200725048402,3.917875101575653e-06
233,0.7919493615627289,3.077845575859451e-06,0.8734478116035461,2.4499176715785204e-06,0.5791246058674265,6.098832081693472e-06
400,0.7917281210422515,2.921485045158902e-06,0.8732351005077362,1.9798165255103325e-06,0.5786857024494967,5.7765935818916184e-06
900,0.7913792431354523,2.724819018144366e-06,0.8730664253234863,2.8503237782190615e-06,0.5779936564673592,5.403887895508354e-06
