percent,NoisyBT_acc_mean,NoisyBT_acc_std,NoisyBT_wacc_mean,NoisyBT_wacc_std,NoisyBT_tau_mean,NoisyBT_tau_std
10,0.7916272163391114,2.171409562002727e-06,0.8730008125305175,1.8951652753045458e-06,0.5784855163373414,4.298503167058572e-06
20,0.7916290521621704,1.030040005551717e-06,0.8730004787445068,2.9168786101822257e-06,0.5784892086928746,2.0402265456574026e-06
40,0.7916242599487304,4.3784064465062524e-07,0.8729951739311218,1.3626409200843392e-06,0.5784796770495586,8.817421592310788e-07
60,0.7916248619556427,3.1511696652805267e-06,0.8730045676231384,3.0902349846036943e-06,0.5784808559797896,6.243508623144326e-06
80,0.7916234254837036,2.242560896645359e-06,0.8730021595954895,3.1244206723904616e-06,0.5784780187875969,4.44609828960664e-06
100,0.7916245281696319,1.3861252052509896e-06,0.872998958826065,2.1960813490931737e-06,0.5784802231562542,2.740765956680953e-06
150,0.7916242718696594,2.1341792438240504e-06,0.8730022192001343,3.2336055403989034e-06,0.5784797166366757,4.222284626715697e-06
233,0.7916252970695495,6.525007335378651e-07,0.8729988038539886,8.212689522441934e-07,0.5784817544819504,1.3367715432905228e-06
400,0.7916276276111602,2.2626224632385144e-07,0.872999393939972,3.7337445648588714e-07,0.578486370434807,4.839212091826497e-07
900,0.7916221559047699,1.1853534210642877e-06,0.8730060160160065,1.196925975562525e-06,0.578475497800177,2.322548426353366e-06
