percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.7915359318256379,1.0010814355696184e-05,0.8731650114059448,9.80100472058245e-06,0.5783044767339339,1.9819719702450723e-05
20,0.7914333403110504,6.30596014959731e-06,0.8730696976184845,5.262752610699465e-06,0.5781009633761063,1.2523472255819405e-05
40,0.7910750269889831,8.911809348016629e-06,0.8727752864360809,8.557917330676007e-06,0.5773901834495073,1.7656870567379732e-05
60,0.791078245639801,8.689089801711575e-06,0.872821968793869,6.713719126744468e-06,0.577396562303465,1.7255287485828227e-05
80,0.7908767104148865,4.872671507907227e-06,0.8725982129573822,6.4700038842111475e-06,0.5769967898529972,9.646015634267988e-06
100,0.7906647861003876,9.62641585724364e-06,0.8723470568656921,6.819094386819135e-06,0.5765764018575302,1.910006630547368e-05
150,0.790261161327362,4.9765987872348025e-06,0.8719581663608551,5.450566939369655e-06,0.575775798805404,9.861936501642193e-06
233,0.7900401055812836,4.948783093764296e-06,0.8716593742370605,5.34964221950933e-06,0.5753372618751176,9.809934478043986e-06
400,0.7896679759025573,2.797458772370845e-06,0.8714030146598816,2.258253157442139e-06,0.5745990932173928,5.540591706367587e-06
900,0.7899088501930237,1.4087895405365246e-06,0.8717235922813416,9.465698018601091e-07,0.5750769183666917,2.782964094011567e-06
