percent,NoisyBT_acc_mean,NoisyBT_acc_std,NoisyBT_wacc_mean,NoisyBT_wacc_std,NoisyBT_tau_mean,NoisyBT_tau_std
10,0.6942235231399536,0.00039866442587307874,0.7554007053375245,0.0005071839259826664,0.36669751295867503,0.0007526639452146383
20,0.6943174123764038,0.0007445047101344183,0.7553841471672058,0.0007941765202299513,0.366874770166382,0.0014056347964343267
40,0.6941417634487153,0.0007198079415335411,0.755106246471405,0.0007715489177585556,0.36654312764873676,0.0013589919746041863
60,0.6936703085899353,0.0008719554358308154,0.7544745206832886,0.0009159374688270483,0.36565302962724056,0.0016462614557343996
80,0.6932291567325592,0.001331521561890102,0.7542187750339509,0.0015049696381388411,0.3648201113501659,0.0025139268979729157
100,0.6929969608783721,0.0013853445626827888,0.7541296303272247,0.001419548648028796,0.36438173330960033,0.002615542601078789
150,0.6933048665523529,0.0012589443807290996,0.7545387089252472,0.0013077692115129453,0.36496306071121987,0.002376918104231992
233,0.6937308847904206,0.0012821800388132883,0.7548306286334991,0.0014954743163895286,0.3657673891160837,0.0024207810138047355
400,0.687533438205719,0.014867982291771803,0.7487533688545227,0.015493415056117116,0.3540665074159438,0.028071017792073733
900,0.6641529619693756,0.0037824045934764824,0.722237628698349,0.003875097421078569,0.30992374472246953,0.007141259447905169
