percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.6985695123672485,0.002010984415654484,0.7579316794872284,0.0021570091297565966,0.37490280628317446,0.00379676947506709
20,0.6966897964477539,0.003449109084057855,0.7562036097049714,0.0038703870135119098,0.3713538501460739,0.0065119782596787905
40,0.6942830920219422,0.003743692885244078,0.7537342965602875,0.0042365726001141945,0.3668099664560375,0.0070681668419635075
60,0.6941498339176178,0.0030056623986388243,0.7539477467536926,0.0033432027409191147,0.36655837558058246,0.005674736830415587
80,0.692655748128891,0.00387504865780731,0.75232692360878,0.003860985883949021,0.3637375081891169,0.007316158664132134
100,0.6912595748901367,0.0025052565893876146,0.7507132291793823,0.0029884646977717273,0.36110152197128126,0.00472998927202595
150,0.6897028982639313,0.002535976919325382,0.7487250924110412,0.003027016819980384,0.358162483108011,0.004787958720874006
233,0.6870074808597565,0.004869716987981827,0.7465087175369263,0.006283326199942853,0.3530734858544887,0.009194102454312996
400,0.623414808511734,0.07273371552343236,0.6626380026340485,0.09770893507881306,0.23301035383139249,0.13732145215338962
900,0.539742773771286,0.00609911042534729,0.5504526555538177,0.008303407500674091,0.07503901626047152,0.011514608233426893
