percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.6948968708515167,0.0017002244575403038,0.7546859443187713,0.0018377116526963637,0.36796880927631526,0.0032100563435361893
20,0.693792462348938,0.003968250334632936,0.7535585284233093,0.004724136543045674,0.3658836545964076,0.007492117706201625
40,0.6918562054634094,0.0028321699455744597,0.7514425098896027,0.00358137021588546,0.3622279629363867,0.005347193114285586
60,0.6899734437465668,0.003759447855709444,0.749824994802475,0.004078665555436148,0.35867328882484395,0.007097903317468611
80,0.6898906767368317,0.0038909035880597504,0.7501459538936615,0.004234849204641787,0.358516997523425,0.007346089020514807
100,0.6889225304126739,0.0049712661088969325,0.7491084575653076,0.005209190336070415,0.3566891516934145,0.009385850637685395
150,0.6829027771949768,0.007394169867684431,0.743331503868103,0.008466346283524412,0.3453237244938814,0.013960314995770301
233,0.6743380129337311,0.006177100306317117,0.7348814725875854,0.006334316255477957,0.3291532927714532,0.011662476544564844
400,0.5470718801021576,0.047065463022966825,0.56274294257164,0.06682565035003182,0.08887257076301042,0.08886043076534399
900,0.5383708357810975,0.004653920364218863,0.5480951607227326,0.0057959561742250455,0.07244483019068505,0.008786683569865021
