percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.682387912273407,0.0038207327131443104,0.7451487362384797,0.004484735435513237,0.3443704950226211,0.0072109030834990925
20,0.6786829769611359,0.00589548728680547,0.7416653513908387,0.006686810571344225,0.3373732261017036,0.011125281843479436
40,0.6753566145896912,0.007614777834537452,0.7372583329677582,0.008877939617578068,0.33108745622526253,0.014376684798590772
60,0.6706451654434205,0.010548910403972,0.731300276517868,0.011399972402625911,0.32218886812914993,0.019917409236901176
80,0.661979466676712,0.01213501104390223,0.7205128729343414,0.014288505330959501,0.30582887737868625,0.022912002750903927
100,0.6548159122467041,0.012577017272252003,0.7113332927227021,0.014928650622723137,0.29230173635827733,0.02374570609282985
150,0.631713044643402,0.011792060897484682,0.6823306441307068,0.014784936237546094,0.24868194234794974,0.022264064784425625
233,0.5871791005134582,0.012889873709521067,0.6209976077079773,0.01612414709183757,0.16459983263291933,0.024338062379435345
400,0.507022213935852,0.013517776137903078,0.5096327245235444,0.01898268198053557,0.013258076739888061,0.025521815866376762
900,0.3882421225309372,0.0169953110360928,0.3458314001560211,0.021961451239842073,-0.21100088088162275,0.03208745964134351
