percent,RC_acc_mean,RC_acc_std,RC_wacc_mean,RC_wacc_std,RC_tau_mean,RC_tau_std
10,0.6513058185577393,0.0019137957380023387,0.7120506048202515,0.0027937235899503764,0.2871215302483182,0.0035097214862926064
20,0.6510604977607727,0.002872798858663598,0.711659848690033,0.003678963236881368,0.2859048193359873,0.005453609656779901
40,0.6484761357307434,0.004028101388755541,0.7078150033950805,0.006572114594952317,0.28055759493527893,0.0075978266956159045
60,0.6484074771404267,0.004576980364412028,0.708005291223526,0.007977794275240173,0.28034946324422894,0.008600305224689577
80,0.644408768415451,0.0061810665021713625,0.7038012862205505,0.008280480423918303,0.2727859320022679,0.011668638503668362
100,0.6431781709194183,0.0060063320587221865,0.7037872731685638,0.007206676355276737,0.2704758784735648,0.011350449741664706
150,0.6340581595897674,0.005156314538807589,0.693582421541214,0.00895898901083073,0.25325606304219767,0.009733252048576429
233,0.6156233251094818,0.004692977435522355,0.6685089409351349,0.010796064886643203,0.2185136602002271,0.008870385608980388
400,0.5304360032081604,0.011305761367070153,0.5434206664562226,0.016057947840198452,0.05773832276932232,0.021363872716476343
900,0.3848945587873459,0.013076237610871006,0.33159423172473906,0.019624272303691553,-0.21715820319418375,0.024695743709462793
